"Step","HalfCheetahBulletEnv-v0_TD3_1_1637248392 - eval/.returns","HalfCheetahBulletEnv-v0_TD3_1_1637248392 - eval/.returns__MIN","HalfCheetahBulletEnv-v0_TD3_1_1637248392 - eval/.returns__MAX"
"1","-1332.3545778919374","-1332.3545778919374","-1332.3545778919374"
"5002","-830.1592589806565","-830.1592589806565","-830.1592589806565"
"10003","-60.84620656251169","-60.84620656251169","-60.84620656251169"
"15004","-797.7097972777382","-797.7097972777382","-797.7097972777382"
"20005","-44.77796967895232","-44.77796967895232","-44.77796967895232"
"25006","-444.92417788817784","-444.92417788817784","-444.92417788817784"
"30007","541.5483145309688","541.5483145309688","541.5483145309688"
"35008","663.0662719672954","663.0662719672954","663.0662719672954"
"40009","568.1525790223316","568.1525790223316","568.1525790223316"
"45010","576.4379189140247","576.4379189140247","576.4379189140247"
"50011","236.9210654501156","236.9210654501156","236.9210654501156"
"55012","65.51310558676911","65.51310558676911","65.51310558676911"
"60013","587.1556237370539","587.1556237370539","587.1556237370539"
"65014","726.8736630267338","726.8736630267338","726.8736630267338"
"70015","705.932440872193","705.932440872193","705.932440872193"
"75016","768.6494110872767","768.6494110872767","768.6494110872767"
"80017","766.8875074555237","766.8875074555237","766.8875074555237"
"85018","769.4679213012405","769.4679213012405","769.4679213012405"
"90019","615.9910788631721","615.9910788631721","615.9910788631721"
"95020","830.7672192257627","830.7672192257627","830.7672192257627"
"100021","855.416889178543","855.416889178543","855.416889178543"
"105022","753.1750856481261","753.1750856481261","753.1750856481261"
"110023","887.3491134831793","887.3491134831793","887.3491134831793"
"115024","950.7521339516006","950.7521339516006","950.7521339516006"
"120025","908.9140097486288","908.9140097486288","908.9140097486288"
"125026","933.3928651416454","933.3928651416454","933.3928651416454"
"130027","1022.2518628221945","1022.2518628221945","1022.2518628221945"
"135028","1111.675722205297","1111.675722205297","1111.675722205297"
"140029","1077.8380795141218","1077.8380795141218","1077.8380795141218"
"145030","1060.6748430457783","1060.6748430457783","1060.6748430457783"
"150031","1221.7422819793217","1221.7422819793217","1221.7422819793217"
"155032","1166.034814750526","1166.034814750526","1166.034814750526"
"160033","1156.491298839384","1156.491298839384","1156.491298839384"
"165034","1233.4668274994328","1233.4668274994328","1233.4668274994328"
"170035","1260.113754712604","1260.113754712604","1260.113754712604"
"175036","1289.0311541608355","1289.0311541608355","1289.0311541608355"
"180037","1209.6906920434742","1209.6906920434742","1209.6906920434742"
"185038","1219.3710842309354","1219.3710842309354","1219.3710842309354"
"190039","1385.9174417496024","1385.9174417496024","1385.9174417496024"
"195040","1452.426966467882","1452.426966467882","1452.426966467882"
"200041","1433.5383079781454","1433.5383079781454","1433.5383079781454"
"205042","1542.6858806215473","1542.6858806215473","1542.6858806215473"
