"Step","HalfCheetahBulletEnv-v0_TD3_3_1637249298 - eval/.returns","HalfCheetahBulletEnv-v0_TD3_3_1637249298 - eval/.returns__MIN","HalfCheetahBulletEnv-v0_TD3_3_1637249298 - eval/.returns__MAX"
"1","-1401.2134948707949","-1401.2134948707949","-1401.2134948707949"
"5002","-1053.5710313121604","-1053.5710313121604","-1053.5710313121604"
"10003","635.2208303414598","635.2208303414598","635.2208303414598"
"15004","-12.535950713834245","-12.535950713834245","-12.535950713834245"
"20005","-7.750337469367919","-7.750337469367919","-7.750337469367919"
"25006","-1356.3275026815588","-1356.3275026815588","-1356.3275026815588"
"30007","58.34664206673532","58.34664206673532","58.34664206673532"
"35008","711.5502709500404","711.5502709500404","711.5502709500404"
"40009","171.2103846616779","171.2103846616779","171.2103846616779"
"45010","707.2340164022291","707.2340164022291","707.2340164022291"
"50011","766.8143110037074","766.8143110037074","766.8143110037074"
"55012","631.3939085350052","631.3939085350052","631.3939085350052"
"60013","576.9913993784161","576.9913993784161","576.9913993784161"
"65014","421.54964804851795","421.54964804851795","421.54964804851795"
"70015","658.8230137022432","658.8230137022432","658.8230137022432"
"75016","665.4030656166917","665.4030656166917","665.4030656166917"
"80017","587.8268995145702","587.8268995145702","587.8268995145702"
"85018","762.5598400050067","762.5598400050067","762.5598400050067"
"90019","787.9888925660955","787.9888925660955","787.9888925660955"
"95020","748.0902026591054","748.0902026591054","748.0902026591054"
"100021","805.4344941132659","805.4344941132659","805.4344941132659"
"105022","718.5327064970131","718.5327064970131","718.5327064970131"
"110023","675.4500216694219","675.4500216694219","675.4500216694219"
"115024","947.1245507729111","947.1245507729111","947.1245507729111"
"120025","920.8819218088069","920.8819218088069","920.8819218088069"
"125026","768.845759621935","768.845759621935","768.845759621935"
"130027","897.6253874803655","897.6253874803655","897.6253874803655"
"135028","1022.8350474636184","1022.8350474636184","1022.8350474636184"
"140029","897.1132262200775","897.1132262200775","897.1132262200775"
"145030","810.230616338725","810.230616338725","810.230616338725"
"150031","669.7128173164657","669.7128173164657","669.7128173164657"
"155032","596.39722913756","596.39722913756","596.39722913756"
"160033","692.3389624581534","692.3389624581534","692.3389624581534"
"165034","713.5893414890913","713.5893414890913","713.5893414890913"
"170035","713.1103054456833","713.1103054456833","713.1103054456833"
"175036","766.3114586198119","766.3114586198119","766.3114586198119"
"180037","716.6763580613631","716.6763580613631","716.6763580613631"
"185038","890.5287124936588","890.5287124936588","890.5287124936588"
"190039","912.562163596687","912.562163596687","912.562163596687"
"195040","1045.4854380651354","1045.4854380651354","1045.4854380651354"
"200041","940.2372616793206","940.2372616793206","940.2372616793206"
"205042","1159.8658356769552","1159.8658356769552","1159.8658356769552"
"210043","1238.1451106338557","1238.1451106338557","1238.1451106338557"
"215044","1259.3404083290984","1259.3404083290984","1259.3404083290984"
"220045","1269.1551011105662","1269.1551011105662","1269.1551011105662"
"225046","1354.8343799634229","1354.8343799634229","1354.8343799634229"
"230047","1376.1314661064132","1376.1314661064132","1376.1314661064132"
"235048","1352.3735782498195","1352.3735782498195","1352.3735782498195"
"240049","1230.2727010405818","1230.2727010405818","1230.2727010405818"
"245050","1374.4275738332722","1374.4275738332722","1374.4275738332722"
"250051","1245.3578817977882","1245.3578817977882","1245.3578817977882"
"255052","1086.2154981132182","1086.2154981132182","1086.2154981132182"
"260053","1339.3325352966908","1339.3325352966908","1339.3325352966908"
"265054","1376.98869201651","1376.98869201651","1376.98869201651"
"270055","1342.2320266833513","1342.2320266833513","1342.2320266833513"
"275056","1451.8975992270912","1451.8975992270912","1451.8975992270912"
"280057","1491.5119627152221","1491.5119627152221","1491.5119627152221"
"285058","1383.5183522122652","1383.5183522122652","1383.5183522122652"
"290059","1407.995274324201","1407.995274324201","1407.995274324201"
"295060","1514.5157110085584","1514.5157110085584","1514.5157110085584"
"300061","1411.7114632081398","1411.7114632081398","1411.7114632081398"
"305062","1420.1830216497285","1420.1830216497285","1420.1830216497285"
"310063","1483.3934521447468","1483.3934521447468","1483.3934521447468"
"315064","1445.3224851424716","1445.3224851424716","1445.3224851424716"
"320065","1390.213402821657","1390.213402821657","1390.213402821657"
"325066","1444.038582052382","1444.038582052382","1444.038582052382"
"330067","1494.3413369020402","1494.3413369020402","1494.3413369020402"
"335068","1563.2752465276703","1563.2752465276703","1563.2752465276703"
"340069","1444.3962194533747","1444.3962194533747","1444.3962194533747"
"345070","1512.9532367100664","1512.9532367100664","1512.9532367100664"
"350071","1549.8330092218625","1549.8330092218625","1549.8330092218625"
"355072","1537.8424866282007","1537.8424866282007","1537.8424866282007"
"360073","-1698.493294594008","-1698.493294594008","-1698.493294594008"
"365074","-1608.9025425067434","-1608.9025425067434","-1608.9025425067434"
"370075","260.2907731783704","260.2907731783704","260.2907731783704"
"375076","724.9407689516421","724.9407689516421","724.9407689516421"
"380077","890.6213171615182","890.6213171615182","890.6213171615182"
"385078","892.5163732711599","892.5163732711599","892.5163732711599"
"390079","1322.2828275665202","1322.2828275665202","1322.2828275665202"
"395080","1516.8159103200894","1516.8159103200894","1516.8159103200894"
"400081","1561.073920376121","1561.073920376121","1561.073920376121"
"405082","1517.5782180313977","1517.5782180313977","1517.5782180313977"
"410083","1527.9499176277495","1527.9499176277495","1527.9499176277495"
"415084","1408.0246647503106","1408.0246647503106","1408.0246647503106"
"420085","1651.3017388091353","1651.3017388091353","1651.3017388091353"
"425086","1689.096331721887","1689.096331721887","1689.096331721887"
"430087","1709.380346712646","1709.380346712646","1709.380346712646"
"435088","1677.0220195713919","1677.0220195713919","1677.0220195713919"
"440089","1708.0765445457378","1708.0765445457378","1708.0765445457378"
"445090","1734.156315872852","1734.156315872852","1734.156315872852"
"450091","1759.1504785882867","1759.1504785882867","1759.1504785882867"
"455092","1712.6045450349218","1712.6045450349218","1712.6045450349218"
"460093","1731.1097659670563","1731.1097659670563","1731.1097659670563"
"465094","1776.8541246853983","1776.8541246853983","1776.8541246853983"
"470095","1747.9898274694563","1747.9898274694563","1747.9898274694563"
"475096","1754.7198811126232","1754.7198811126232","1754.7198811126232"
"480097","1774.4250414022317","1774.4250414022317","1774.4250414022317"
"485098","1719.8333618543315","1719.8333618543315","1719.8333618543315"
"490099","1665.1588782778963","1665.1588782778963","1665.1588782778963"
"495100","1734.9396272815575","1734.9396272815575","1734.9396272815575"
"500101","1767.647103124657","1767.647103124657","1767.647103124657"
"505102","1783.2632849659599","1783.2632849659599","1783.2632849659599"
"510103","1741.6318944750533","1741.6318944750533","1741.6318944750533"
"515104","1809.2063656950274","1809.2063656950274","1809.2063656950274"
"520105","1791.4282413560948","1791.4282413560948","1791.4282413560948"
"525106","1829.0127397052759","1829.0127397052759","1829.0127397052759"
"530107","1860.472913886611","1860.472913886611","1860.472913886611"
"535108","1844.3793514521308","1844.3793514521308","1844.3793514521308"
"540109","1908.3116695192834","1908.3116695192834","1908.3116695192834"
"545110","1891.9578670564922","1891.9578670564922","1891.9578670564922"
"550111","1976.9410077059224","1976.9410077059224","1976.9410077059224"
"555112","1945.9365470477962","1945.9365470477962","1945.9365470477962"
"560113","1949.1265056147658","1949.1265056147658","1949.1265056147658"
"565114","1939.0916363897509","1939.0916363897509","1939.0916363897509"
"570115","1928.4002168642014","1928.4002168642014","1928.4002168642014"
"575116","1928.7611333628815","1928.7611333628815","1928.7611333628815"
"580117","1988.8084761090965","1988.8084761090965","1988.8084761090965"
"585118","1952.1032142575903","1952.1032142575903","1952.1032142575903"
"590119","1932.6320646140089","1932.6320646140089","1932.6320646140089"
"595120","1935.7399977432628","1935.7399977432628","1935.7399977432628"
"600121","1934.2728505043192","1934.2728505043192","1934.2728505043192"
"605122","1950.3854021697111","1950.3854021697111","1950.3854021697111"
"610123","1944.9644927697398","1944.9644927697398","1944.9644927697398"
"615124","1975.2202658040364","1975.2202658040364","1975.2202658040364"
"620125","1969.383319595006","1969.383319595006","1969.383319595006"
"625126","1972.248922266143","1972.248922266143","1972.248922266143"
"630127","1992.260495276357","1992.260495276357","1992.260495276357"
"635128","1997.9832663162783","1997.9832663162783","1997.9832663162783"
"640129","1971.8382321072618","1971.8382321072618","1971.8382321072618"
"645130","1984.8087830952118","1984.8087830952118","1984.8087830952118"
"650131","1967.5408431221426","1967.5408431221426","1967.5408431221426"
"655132","2006.1270989496284","2006.1270989496284","2006.1270989496284"
"660133","2008.9254109144608","2008.9254109144608","2008.9254109144608"
"665134","2005.1230578621958","2005.1230578621958","2005.1230578621958"
"670135","1986.9087071435267","1986.9087071435267","1986.9087071435267"
"675136","1976.2607640718877","1976.2607640718877","1976.2607640718877"
"680137","2031.9707629421196","2031.9707629421196","2031.9707629421196"
"685138","2013.8410227629356","2013.8410227629356","2013.8410227629356"
"690139","1999.6926239413206","1999.6926239413206","1999.6926239413206"
"695140","2058.25740698668","2058.25740698668","2058.25740698668"
"700141","2020.349760202446","2020.349760202446","2020.349760202446"
"705142","2031.571097142615","2031.571097142615","2031.571097142615"
"710143","2025.3345553709082","2025.3345553709082","2025.3345553709082"
"715144","2026.343583005666","2026.343583005666","2026.343583005666"
"720145","2035.8143067992646","2035.8143067992646","2035.8143067992646"
"725146","2044.0475837407666","2044.0475837407666","2044.0475837407666"
"730147","2071.562226179209","2071.562226179209","2071.562226179209"
"735148","2058.7797186149137","2058.7797186149137","2058.7797186149137"
"740149","2071.1681733240994","2071.1681733240994","2071.1681733240994"
"745150","2083.740951127326","2083.740951127326","2083.740951127326"
"750151","2053.7446733451757","2053.7446733451757","2053.7446733451757"
"755152","2099.6916085272305","2099.6916085272305","2099.6916085272305"
"760153","2078.782435292781","2078.782435292781","2078.782435292781"
"765154","2102.3747782608066","2102.3747782608066","2102.3747782608066"
"770155","2100.8311381382928","2100.8311381382928","2100.8311381382928"
"775156","2143.756214897314","2143.756214897314","2143.756214897314"
"780157","2097.692884041858","2097.692884041858","2097.692884041858"
"785158","2065.394228108882","2065.394228108882","2065.394228108882"
"790159","2148.5239772123905","2148.5239772123905","2148.5239772123905"
"795160","2145.823412960692","2145.823412960692","2145.823412960692"
"800161","2153.641168692232","2153.641168692232","2153.641168692232"
"805162","2107.6573566691986","2107.6573566691986","2107.6573566691986"
"810163","2101.285929629715","2101.285929629715","2101.285929629715"
"815164","2130.786421732385","2130.786421732385","2130.786421732385"
"820165","2129.0366726993207","2129.0366726993207","2129.0366726993207"
