"Step","InvertedPendulumBulletEnv-v0_TD3_2_1637141941 - eval/.returns","InvertedPendulumBulletEnv-v0_TD3_2_1637141941 - eval/.returns__MIN","InvertedPendulumBulletEnv-v0_TD3_2_1637141941 - eval/.returns__MAX"
"1","23.2","23.2","23.2"
"5002","221.1","221.1","221.1"
"10003","92.2","92.2","92.2"
"15004","103.6","103.6","103.6"
"20005","102.3","102.3","102.3"
"25006","111.7","111.7","111.7"
"30007","270","270","270"
"35008","260.9","260.9","260.9"
"40009","1000","1000","1000"
"45010","1000","1000","1000"
"50011","1000","1000","1000"
"55012","1000","1000","1000"
"60013","1000","1000","1000"
"65014","1000","1000","1000"
"70015","1000","1000","1000"
"75016","683.6","683.6","683.6"
"80017","1000","1000","1000"
"85018","1000","1000","1000"
"90019","1000","1000","1000"
"95020","1000","1000","1000"
"100021","1000","1000","1000"
"105022","1000","1000","1000"
"110023","960.8","960.8","960.8"
"115024","1000","1000","1000"
"120025","136.5","136.5","136.5"
"125026","149.4","149.4","149.4"
"130027","314.6","314.6","314.6"
"135028","408.4","408.4","408.4"
"140029","1000","1000","1000"
"145030","1000","1000","1000"
"150031","1000","1000","1000"
"155032","1000","1000","1000"
"160033","1000","1000","1000"
"165034","1000","1000","1000"
"170035","1000","1000","1000"
"175036","1000","1000","1000"
"180037","1000","1000","1000"
"185038","1000","1000","1000"
"190039","1000","1000","1000"
"195040","1000","1000","1000"
