"Step","HalfCheetahBulletEnv-v0_TD3_2_1637231587 - eval/.returns","HalfCheetahBulletEnv-v0_TD3_2_1637231587 - eval/.returns__MIN","HalfCheetahBulletEnv-v0_TD3_2_1637231587 - eval/.returns__MAX"
"1","-1403.9845561297373","-1403.9845561297373","-1403.9845561297373"
"5002","-1419.742911002298","-1419.742911002298","-1419.742911002298"
"10003","297.5007753500109","297.5007753500109","297.5007753500109"
"15004","-3.675675800008379","-3.675675800008379","-3.675675800008379"
"20005","242.9571989789844","242.9571989789844","242.9571989789844"
"25006","511.44244906487586","511.44244906487586","511.44244906487586"
"30007","479.4048362991413","479.4048362991413","479.4048362991413"
"35008","747.5845154699913","747.5845154699913","747.5845154699913"
"40009","736.8995327101741","736.8995327101741","736.8995327101741"
"45010","414.5168719307485","414.5168719307485","414.5168719307485"
"50011","805.3463768147141","805.3463768147141","805.3463768147141"
"55012","812.6887348257153","812.6887348257153","812.6887348257153"
"60013","754.216856196529","754.216856196529","754.216856196529"
"65014","679.5907594887983","679.5907594887983","679.5907594887983"
"70015","786.950905086642","786.950905086642","786.950905086642"
"75016","981.2195378442497","981.2195378442497","981.2195378442497"
"80017","672.7160055059493","672.7160055059493","672.7160055059493"
"85018","709.2129551837412","709.2129551837412","709.2129551837412"
"90019","650.8790380477311","650.8790380477311","650.8790380477311"
"95020","824.8767338468648","824.8767338468648","824.8767338468648"
"100021","911.5916906463217","911.5916906463217","911.5916906463217"
"105022","1014.0001374947227","1014.0001374947227","1014.0001374947227"
"110023","1069.7719218399293","1069.7719218399293","1069.7719218399293"
"115024","1050.9454916097818","1050.9454916097818","1050.9454916097818"
"120025","-1724.987592886949","-1724.987592886949","-1724.987592886949"
"125026","-1664.0597619149041","-1664.0597619149041","-1664.0597619149041"
"130027","1048.4484363352674","1048.4484363352674","1048.4484363352674"
"135028","1074.7915437518866","1074.7915437518866","1074.7915437518866"
"140029","1082.3082868400795","1082.3082868400795","1082.3082868400795"
"145030","1092.487419766279","1092.487419766279","1092.487419766279"
"150031","892.9908927914605","892.9908927914605","892.9908927914605"
"155032","1092.626002827958","1092.626002827958","1092.626002827958"
"160033","1087.0774592336713","1087.0774592336713","1087.0774592336713"
"165034","1131.8793543340703","1131.8793543340703","1131.8793543340703"
"170035","1146.8942182888857","1146.8942182888857","1146.8942182888857"
"175036","1151.9292273263732","1151.9292273263732","1151.9292273263732"
"180037","1187.9472967475238","1187.9472967475238","1187.9472967475238"
"185038","1223.1269725245224","1223.1269725245224","1223.1269725245224"
"190039","1298.188727526495","1298.188727526495","1298.188727526495"
"195040","1293.6501248326065","1293.6501248326065","1293.6501248326065"
"200041","1304.882563028778","1304.882563028778","1304.882563028778"
"205042","1256.3545352649598","1256.3545352649598","1256.3545352649598"
"210043","1277.6974599687255","1277.6974599687255","1277.6974599687255"
"215044","1295.4394146230918","1295.4394146230918","1295.4394146230918"
"220045","1319.4187078472537","1319.4187078472537","1319.4187078472537"
"225046","1297.0675239845636","1297.0675239845636","1297.0675239845636"
"230047","1313.3839567514824","1313.3839567514824","1313.3839567514824"
"235048","1326.9133415581755","1326.9133415581755","1326.9133415581755"
"240049","1391.6849526935628","1391.6849526935628","1391.6849526935628"
"245050","1368.9225539289114","1368.9225539289114","1368.9225539289114"
"250051","1297.990944196003","1297.990944196003","1297.990944196003"
"255052","1402.2579340185073","1402.2579340185073","1402.2579340185073"
"260053","1371.82112219325","1371.82112219325","1371.82112219325"
"265054","1465.1013080539763","1465.1013080539763","1465.1013080539763"
"270055","1454.4029868870198","1454.4029868870198","1454.4029868870198"
"275056","1470.9885395784172","1470.9885395784172","1470.9885395784172"
"280057","1466.1902743441","1466.1902743441","1466.1902743441"
"285058","1484.2872156711678","1484.2872156711678","1484.2872156711678"
"290059","1502.9435714496276","1502.9435714496276","1502.9435714496276"
"295060","1520.803147554998","1520.803147554998","1520.803147554998"
"300061","1541.543826152401","1541.543826152401","1541.543826152401"
"305062","1658.2587312440767","1658.2587312440767","1658.2587312440767"
"310063","1840.3624286448369","1840.3624286448369","1840.3624286448369"
"315064","1623.1463411086215","1623.1463411086215","1623.1463411086215"
"320065","1616.0831038263323","1616.0831038263323","1616.0831038263323"
"325066","1915.0328999269127","1915.0328999269127","1915.0328999269127"
"330067","1836.933915593651","1836.933915593651","1836.933915593651"
"335068","2112.094375624921","2112.094375624921","2112.094375624921"
"340069","2090.2830655055104","2090.2830655055104","2090.2830655055104"
"345070","2199.459974513592","2199.459974513592","2199.459974513592"
"350071","2230.211783869092","2230.211783869092","2230.211783869092"
"355072","2138.932883158037","2138.932883158037","2138.932883158037"
"360073","2117.5984798128366","2117.5984798128366","2117.5984798128366"
"365074","2222.70800621372","2222.70800621372","2222.70800621372"
"370075","2188.86488848031","2188.86488848031","2188.86488848031"
"375076","2208.9431520467324","2208.9431520467324","2208.9431520467324"
"380077","2069.851091294676","2069.851091294676","2069.851091294676"
"385078","2122.292876527595","2122.292876527595","2122.292876527595"
"390079","2134.7695957513524","2134.7695957513524","2134.7695957513524"
"395080","2195.7078390741926","2195.7078390741926","2195.7078390741926"
"400081","2206.1716575600517","2206.1716575600517","2206.1716575600517"
"405082","2207.469748123149","2207.469748123149","2207.469748123149"
"410083","2194.6817332888504","2194.6817332888504","2194.6817332888504"
"415084","2256.7720345883936","2256.7720345883936","2256.7720345883936"
"420085","2299.0601823820825","2299.0601823820825","2299.0601823820825"
"425086","2324.5190405275625","2324.5190405275625","2324.5190405275625"
"430087","2424.50924893078","2424.50924893078","2424.50924893078"
"435088","2381.5858303800646","2381.5858303800646","2381.5858303800646"
"440089","2310.3564355848057","2310.3564355848057","2310.3564355848057"
"445090","2370.956903052029","2370.956903052029","2370.956903052029"
"450091","2314.393203703774","2314.393203703774","2314.393203703774"
"455092","2372.832981907869","2372.832981907869","2372.832981907869"
"460093","2473.424627073039","2473.424627073039","2473.424627073039"
"465094","2306.698718845741","2306.698718845741","2306.698718845741"
"470095","2210.3850912493535","2210.3850912493535","2210.3850912493535"
"475096","2450.1979450447916","2450.1979450447916","2450.1979450447916"
"480097","2430.59232648266","2430.59232648266","2430.59232648266"
"485098","2386.227296842755","2386.227296842755","2386.227296842755"
"490099","2432.104825558743","2432.104825558743","2432.104825558743"
"495100","2439.1853513468386","2439.1853513468386","2439.1853513468386"
"500101","2430.1731665979205","2430.1731665979205","2430.1731665979205"
"505102","2502.776616113229","2502.776616113229","2502.776616113229"
"510103","2059.34476218948","2059.34476218948","2059.34476218948"
"515104","2242.7324560351144","2242.7324560351144","2242.7324560351144"
"520105","2370.149936256754","2370.149936256754","2370.149936256754"
"525106","2439.6907702947724","2439.6907702947724","2439.6907702947724"
"530107","2489.5243302947433","2489.5243302947433","2489.5243302947433"
"535108","2399.1598692833204","2399.1598692833204","2399.1598692833204"
"540109","2421.2824721293464","2421.2824721293464","2421.2824721293464"
"545110","2488.68853014754","2488.68853014754","2488.68853014754"
"550111","2539.4065494450315","2539.4065494450315","2539.4065494450315"
"555112","2522.422334254338","2522.422334254338","2522.422334254338"
"560113","2483.4780050559066","2483.4780050559066","2483.4780050559066"
"565114","2358.5467288133455","2358.5467288133455","2358.5467288133455"
"570115","2502.5841241885746","2502.5841241885746","2502.5841241885746"
"575116","2493.5567355258436","2493.5567355258436","2493.5567355258436"
"580117","2464.8695618622173","2464.8695618622173","2464.8695618622173"
"585118","2502.1254365910295","2502.1254365910295","2502.1254365910295"
"590119","2455.7199890902693","2455.7199890902693","2455.7199890902693"
"595120","2486.510381435621","2486.510381435621","2486.510381435621"
"600121","2451.6323469755325","2451.6323469755325","2451.6323469755325"
"605122","2364.1318036214943","2364.1318036214943","2364.1318036214943"
"610123","2508.891812062567","2508.891812062567","2508.891812062567"
"615124","2500.693598760891","2500.693598760891","2500.693598760891"
"620125","2463.023615192541","2463.023615192541","2463.023615192541"
"625126","2450.4019465430874","2450.4019465430874","2450.4019465430874"
"630127","2505.447548104896","2505.447548104896","2505.447548104896"
"635128","2512.7419727320025","2512.7419727320025","2512.7419727320025"
"640129","2518.0089629804997","2518.0089629804997","2518.0089629804997"
"645130","2502.408208334579","2502.408208334579","2502.408208334579"
"650131","2505.0103796500684","2505.0103796500684","2505.0103796500684"
"655132","2559.631999576118","2559.631999576118","2559.631999576118"
"660133","2561.3810483495504","2561.3810483495504","2561.3810483495504"
"665134","2544.7844572704535","2544.7844572704535","2544.7844572704535"
"670135","2520.2758084103093","2520.2758084103093","2520.2758084103093"
"675136","2520.8179559420114","2520.8179559420114","2520.8179559420114"
"680137","2545.824690232313","2545.824690232313","2545.824690232313"
"685138","2538.9011430120513","2538.9011430120513","2538.9011430120513"
"690139","2497.852671748727","2497.852671748727","2497.852671748727"
"695140","2550.403955842867","2550.403955842867","2550.403955842867"
"700141","2541.152852713313","2541.152852713313","2541.152852713313"
"705142","2527.119022623293","2527.119022623293","2527.119022623293"
"710143","2568.5646693877657","2568.5646693877657","2568.5646693877657"
"715144","2536.35090814776","2536.35090814776","2536.35090814776"
"720145","2546.9217510018657","2546.9217510018657","2546.9217510018657"
"725146","2557.906554071822","2557.906554071822","2557.906554071822"
